,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
10,Gujarat,1277066,1265605,11040,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,127518117,54378883,53985201,19154033,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,184,973,7756,8913,20,52,0,,,1332900000,Gujarat,67936000
11,Haryana,1056326,1045465,10712,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,45424520,23669323,19818643,1936554,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,58,188,586,832,23,35,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,312485,308241,4211,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,15188752,6643416,6313971,2231365,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,36,286,2104,2426,7,4,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479308,474504,4785,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,24702340,11370125,11762948,1569267,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,17,16,1008,1041,0,1,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442552,437189,5331,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,43446756,23904747,17657129,1884880,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,1104,2006,5322,8432,1,6,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4069727,4027555,40300,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,120566233,55144439,55253517,10168277,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,579,5413,6851,12843,78,137,0,,,1332900000,Karnataka,65798000
16,Kerala,6823351,6749329,71422,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,57437417,29143872,25248332,3045213,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,110,428,738,1276,129,198,0,,,1332900000,Kerala,35125000
17,Ladakh,29394,29158,231,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,561879,238225,203591,120063,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,3,4,69,76,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,143624,61802,60433,21389,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,0,1,44,45,0,0,0,,,1332900000,Lakshadweep,68000
19,Madhya Pradesh,1054824,1043982,10776,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,133527567,60742850,59195899,13588818,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,49,125,1064,1238,5,12,0,,,1332900000,Madhya Pradesh,82232000
20,Maharashtra,8133494,7983575,148394,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,177499494,91626197,76496602,9376695,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,329,1125,1765,3219,91,126,0,,,1332900000,Maharashtra,122153000
21,Manipur,139891,137737,2149,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,3257502,1647719,1334567,275216,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,48,131,260,439,1,3,0,,,1332900000,Manipur,3103000
22,Meghalaya,96768,95140,1624,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,2617418,1445998,1086277,85143,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,5,20,57,82,1,0,0,,,1332900000,Meghalaya,3224000
23,Mizoram,238871,238091,726,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,1787507,894098,747845,145564,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,1,3,77,81,1,7,0,,,1332900000,Mizoram,1192000
24,Nagaland,35984,35202,782,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,1735641,923332,743747,68562,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,4,9,4,17,0,7,0,,,1332900000,Nagaland,2150000
25,Odisha,1336267,1326862,9204,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,81415231,35249287,32998196,13167748,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,22,113,1654,1789,6,22,0,,,1332900000,Odisha,43671000
26,Puducherry,175441,173409,1975,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,2257631,993969,863048,400614,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,12,100,229,341,0,5,0,,,1332900000,Puducherry,1504000
27,Punjab,785254,764660,19289,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,46923260,24147854,20958578,1816828,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,113,419,495,1027,1228,16,0,,,1332900000,Punjab,29859000
28,Rajasthan,1314735,1304759,9646,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,114979136,56986589,50801776,7190771,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,361,2055,3948,6364,23,54,0,,,1332900000,Rajasthan,77264000
29,Sikkim,44300,43794,499,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,1356787,591824,554518,210445,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,0,4,75,79,0,3,0,,,1332900000,Sikkim,664000
30,Tamil Nadu,3592919,3553898,38048,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,127223688,61176052,57094238,8953398,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,455,767,1904,3126,109,191,0,,,1332900000,Tamil Nadu,75695000
31,Telangana,840623,836093,4111,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,77073615,32432935,31516859,13123821,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,139,465,5305,5909,41,69,0,,,1332900000,Telangana,37220000
32,Tripura,108024,107073,940,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,5905706,2915966,2519408,470332,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,17,71,72,160,0,6,0,,,1332900000,Tripura,3992000
33,Uttarakhand,449193,441385,7751,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,19991255,9113339,8717587,2160329,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,69,481,2628,3178,6,9,0,,,1332900000,Uttarakhand,11141000
34,Uttar Pradesh,2127780,2103858,23631,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,390306775,176938762,168753725,44614288,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,572,1488,10559,12619,19,26,0,,,1332900000,Uttar Pradesh,224979000
35,West Bengal,2118226,2096313,21530,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,155858375,73514741,66670910,15672724,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,1811,3050,7697,12558,14,41,0,,,1332900000,West Bengal,96906000
