,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
12,Himachal Pradesh,312485,308241,4211,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
13,Jammu and Kashmir,479308,474504,4785,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
14,Jharkhand,442552,437189,5331,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
15,Karnataka,4069727,4027555,40300,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
16,Kerala,6823351,6749329,71422,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
17,Ladakh,29394,29158,231,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
18,Lakshadweep,11415,11363,52,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
19,Madhya Pradesh,1054824,1043982,10776,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
20,Maharashtra,8133494,7983575,148394,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
21,Manipur,139891,137737,2149,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
22,Meghalaya,96768,95140,1624,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
23,Mizoram,238871,238091,726,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
24,Nagaland,35984,35202,782,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
25,Odisha,1336267,1326862,9204,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
26,Puducherry,175441,173409,1975,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
27,Punjab,785254,764660,19289,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
28,Rajasthan,1314735,1304759,9646,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
29,Sikkim,44300,43794,499,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
30,Tamil Nadu,3592919,3553898,38048,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
31,Telangana,840623,836093,4111,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
32,Tripura,108024,107073,940,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
33,Uttarakhand,449193,441385,7751,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
34,Uttar Pradesh,2127780,2103858,23631,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
35,West Bengal,2118226,2096313,21530,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
