,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
14,Jharkhand,442595,437247,5332,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
15,Karnataka,4075524,4034590,40318,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
16,Kerala,6832566,6759101,71596,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
17,Ladakh,29431,29194,231,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
18,Lakshadweep,11415,11363,52,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
19,Madhya Pradesh,1055022,1044213,10777,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
20,Maharashtra,8139865,7990073,148428,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
21,Manipur,139924,137775,2149,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
22,Meghalaya,96788,95163,1625,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
23,Mizoram,238969,238243,726,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
24,Nagaland,35988,35206,782,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
25,Odisha,1336782,1327473,9205,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
26,Puducherry,175972,173920,1976,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
27,Punjab,785843,765231,19289,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
28,Rajasthan,1315793,1306003,9660,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
29,Sikkim,44332,43829,500,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
30,Tamil Nadu,3595677,3557225,38050,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
31,Telangana,842264,837934,4111,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
32,Tripura,108034,107094,940,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
33,Uttarakhand,449532,441746,7754,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
34,Uttar Pradesh,2128340,2104589,23649,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
35,West Bengal,2118907,2097324,21533,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
