,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
24,Nagaland,35988,35206,782,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,1739683,923894,744890,70899,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,2,1,0,3,0,0,0,,,1332900000,Nagaland,2150000
25,Odisha,1336782,1327473,9205,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,81545235,35250699,33012049,13282487,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,3,7,10,20,10,12,0,,,1332900000,Odisha,43671000
26,Puducherry,175972,173920,1976,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,2274059,994613,868099,411347,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,0,0,0,2,0,,,1332900000,Puducherry,1504000
27,Punjab,785843,765231,19289,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,47045779,24161940,20994461,1889378,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,19,30,24,73,1235,9,0,,,1332900000,Punjab,29859000
28,Rajasthan,1315793,1306003,9660,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,115705404,57034262,51034581,7636561,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,123,401,637,1161,15,1,1,,,1332900000,Rajasthan,77264000
29,Sikkim,44332,43829,500,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,1360447,591875,554656,213916,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,0,0,0,1,0,,,1332900000,Sikkim,664000
30,Tamil Nadu,3595677,3557225,38050,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,127525128,61214223,57218699,9092206,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,43,125,124,292,76,37,0,,,1332900000,Tamil Nadu,75695000
31,Telangana,842264,837934,4111,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,77552561,32447138,31558930,13546493,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,28,49,39,116,21,39,0,,,1332900000,Telangana,37220000
32,Tripura,108034,107094,940,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,5918997,2916816,2523858,478323,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,0,0,0,0,0,,,1332900000,Tripura,3992000
33,Uttarakhand,449532,441746,7754,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,20141429,9118486,8732575,2290368,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,17,61,483,561,5,1,0,,,1332900000,Uttarakhand,11141000
34,Uttar Pradesh,2128340,2104589,23649,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,392004356,176998579,168968836,46036941,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,31,35,78,144,10,1,0,,,1332900000,Uttar Pradesh,224979000
35,West Bengal,2118907,2097324,21533,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,156091199,73526962,66704908,15859329,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,37,58,319,414,1,5,0,,,1332900000,West Bengal,96906000
