,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
26,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Theni,630,0,297,,155,340,12,136,2743.0,0.0,1078.0,,6198.0,13242.0,2180.0,1243684,,,,47356,524,44311,,809148,596255,2180,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
27,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Thiruvallur,660,2,984,,0,0,0,2699,6516.0,14.0,6473.0,,0.0,0.0,0.0,3725697,,,,138065,1894,128221,,0,0,0,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
28,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Thiruvarur,308,0,195,,788,1229,14,119,1674.0,0.0,736.0,,12905.0,23150.0,1291.0,1268094,,,,44394,464,42452,,893707,614063,1291,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
29,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Thoothukkudi,422,2,346,,470,3712,24,817,2244.0,11.0,1898.0,,10543.0,30989.0,3457.0,1738376,,,,61690,430,59006,,1396337,787127,3457,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
30,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Tiruchirappalli,871,1,502,,451,2212,26,931,4373.0,13.0,3035.0,,19574.0,46044.0,7042.0,2713858,,,,87320,1119,81726,,2036131,1331212,7042,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
31,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Tirunelveli,613,0,569,,1697,2400,49,536,4704.0,2.0,2703.0,,15053.0,30776.0,3189.0,1665253,,,,57263,441,52737,,1109200,673357,3189,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
32,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Tirupathur,422,0,234,,178,411,12,199,2108.0,0.0,1108.0,,10945.0,20104.0,1427.0,1111812,,,,32789,628,30184,,752832,457527,1427,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
33,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Tiruppur,1844,0,736,,185,403,18,837,6633.0,4.0,3079.0,,23881.0,48471.0,2946.0,2471222,,,,109039,1035,101566,,2017709,1376789,2946,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
34,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Tiruvannamalai,555,1,428,,1389,5656,49,348,3345.0,3.0,2028.0,,17011.0,38512.0,2441.0,2468965,,,,60920,678,57108,,1897174,1386049,2441,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
35,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Vellore,223,2,241,,9915,4957,9,1306,1616.0,4.0,1807.0,,39146.0,53926.0,4583.0,1614242,,,,55619,1154,52522,,1232772,795368,4583,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
36,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Viluppuram,640,0,215,,4743,15647,25,361,2543.0,2.0,1074.0,,26048.0,73042.0,1565.0,2093003,,,,49962,361,47215,,1642082,1185404,1565,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
37,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Virudhunagar,525,0,376,,1572,2953,119,589,3276.0,1.0,2100.0,,17763.0,31822.0,5371.0,1943309,,,,52297,551,48647,,1451638,1025010,5371,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
