,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
24,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Nagaur,0,0,0,841,972,5227,0,1.0,0.0,0.0,4620.0,5204.0,28961.0,3309234,,,,17738,177,17560,482952,2086500,1067794,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
25,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Other State,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,337,39,298,6012,0,0,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
26,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Pali,0,0,0,295,1053,5249,0,0.0,0.0,0.0,2396.0,6614.0,32153.0,2038533,,,,27324,287,27037,343051,1211212,563541,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
27,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Pratapgarh,0,0,0,429,383,10685,0,0.0,0.0,0.0,4024.0,2139.0,49478.0,868231,,,,7143,63,7080,200185,658276,412904,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
28,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Rajsamand,0,0,0,402,497,1674,0,0.0,0.0,0.0,2771.0,2888.0,10098.0,1158283,,,,17044,169,16875,225091,696519,316455,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
29,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Sawai Madhopur,0,0,0,419,1248,3694,0,0.0,0.0,0.0,3242.0,10263.0,27930.0,1338114,,,,10618,61,10557,182422,769840,384549,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
30,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Sikar,0,0,0,743,1183,7756,0,0.0,0.0,0.0,3908.0,11645.0,75465.0,2677737,,,,30618,335,30283,411282,1854570,922323,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
31,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Sirohi,0,0,0,302,474,2728,0,0.0,0.0,0.0,2050.0,4198.0,14648.0,1037185,,,,13732,79,13653,253811,617999,372246,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
32,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Tonk,0,0,0,521,402,3338,0,0.0,0.0,0.0,3394.0,2145.0,17892.0,1421711,,,,9498,92,9406,239945,888396,449249,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
33,2021-11-16,RJ,15,0,17,20288,39047,181006,0,70.0,0.0,42.0,135988.0,248678.0,1085726.0,Udaipur,1,0,0,797,2984,7430,0,3.0,0.0,4.0,4179.0,11005.0,35668.0,3067549,,,,56410,753,55656,687093,1731860,920590,2021-11-16T23:22:13.172649+05:30,77264000,,,,954539,8954,945512,15020742,42933308,21787170
