,Unnamed: 0,Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,last_updated,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,tested_last_updated_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
10,10,2021-10-31,India,Gujarat,826557,10089,816260,11/10/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,70706495,44735126,25971369,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,14756,62658,77414,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Gujarat,67936000
11,11,2021-10-31,India,Haryana,771241,10049,761058,11/11/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,25886840,17772039,8114801,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,8476,15797,24273,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Haryana,28672000
12,12,2021-10-31,India,Himachal Pradesh,224021,3753,218212,11/12/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,9157473,5713695,3443778,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,382,8170,8552,0,0,16,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,13,2021-10-31,India,Jammu and Kashmir,332154,4432,326836,11/13/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,14657758,9511010,5146748,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,1862,46824,48686,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,14,2021-10-31,India,Jharkhand,348754,5138,343510,11/14/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,20565938,14983565,5582373,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,39921,50263,90184,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Jharkhand,37403000
15,15,2021-10-31,India,Karnataka,2988041,38071,2941233,11/15/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,65353525,42496209,22857316,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,16747,28642,45389,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Karnataka,65798000
16,16,2021-10-31,India,Kerala,4961490,31514,4850742,11/16/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,38964836,25306499,13658337,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,2045,12063,14108,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Kerala,35125000
17,17,2021-10-31,India,Ladakh,20951,208,20678,11/17/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,361078,208798,152280,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,0,3,3,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Ladakh,293000
18,18,2021-10-31,India,Lakshadweep,10365,51,10314,11/18/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,101080,55129,45951,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,0,5,5,0,44,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Lakshadweep,68000
19,19,2021-10-31,India,Maharashtra,6609906,140196,6449186,11/19/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,98171089,67196330,30974759,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,53616,32625,86241,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Maharashtra,122153000
20,20,2021-10-31,India,Manipur,123668,1920,121040,11/20/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1968846,1249436,719410,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,705,4280,4985,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Manipur,3103000
21,21,2021-10-31,India,Meghalaya,83605,1449,81695,11/21/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1745089,1103273,641816,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,36,201,237,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Meghalaya,3224000
22,22,2021-10-31,India,Mizoram,121359,431,114002,11/22/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1223612,711595,512017,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,129,39,168,579,0,1,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Mizoram,1192000
23,23,2021-10-31,India,Madhya Pradesh,792838,10524,782207,11/23/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,70748941,49911829,20837112,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,5924,79556,85480,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Madhya Pradesh,82232000
24,24,2021-10-31,India,Nagaland,31831,684,30925,11/24/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1200202,709551,490651,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,190,811,1001,0,1042,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Nagaland,2150000
25,25,2021-10-31,India,Odisha,1040969,8329,1028697,11/25/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,37294848,25735276,11559572,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,21363,26189,47552,0,0,-53,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Odisha,43671000
26,26,2021-10-31,India,Puducherry,127975,1857,125681,11/26/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,1138344,733957,404387,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,169,530,699,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Puducherry,1504000
27,27,2021-10-31,India,Punjab,602375,16558,585566,11/27/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,22181312,15942523,6238789,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,3872,4866,8738,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Punjab,29859000
28,28,2021-10-31,India,Rajasthan,954427,8954,945441,11/28/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,62637043,42543054,20093989,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,10670,33555,44225,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Rajasthan,77264000
29,29,2021-10-31,India,Sikkim,31958,395,31380,11/29/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,973272,521763,451509,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,0,0,0,0,325,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Sikkim,664000
30,30,2021-10-31,India,Tamil Nadu,2701614,36097,2653832,11/30/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,58895168,41277027,17618141,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,80116,112538,192654,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Tamil Nadu,75695000
31,31,2021-10-31,India,Telangana,671342,3955,663315,12/1/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,32269369,22497488,9771881,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,39624,27664,67288,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Telangana,37220000
32,32,2021-10-31,India,Tripura,84471,816,83529,12/2/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,4129457,2508476,1620981,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,10,560,570,15,65,3,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Tripura,3992000
33,33,2021-10-31,India,Uttar Pradesh,1710152,22900,1687145,12/3/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,130854330,98175781,32678549,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,56343,57993,114336,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Uttar Pradesh,224979000
34,34,2021-10-31,India,Uttarakhand,343891,7400,336336,12/4/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,11376138,7477999,3898139,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,1067,13216,14283,0,6150,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Uttarakhand,11141000
35,35,2021-10-31,India,West Bengal,1591994,19126,1564558,12/5/2021 19:40,34273300,458186,33655842,608319915,1063441000,733933307,329507693,77741559,56183405,21558154,https://www.icmr.gov.in/,2021-10-30 00:00:00,808,557,7812,957422,330269145,1718874,207817,59002,266819,0,0,0,4887811.285714285,4798506.142857143,65013.42857142857,5109925050,2263612374,7373537424,1364386.7142857143,1341021.7142857143,16398.714285714286,74757743,54141590,20616152,,,1332900000,West Bengal,96906000
