,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
12,2021-10-26,WB,Purulia,,,,19405,113,19268,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1576390,466958,2074586,1588066,19081,1561136,18995979,53664679,20361143,74025822
13,2021-10-26,WB,Bankura,,,,36192,274,35742,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1396749,452158,1857973,1588066,19081,1561136,18995979,53664679,20361143,74025822
14,2021-10-26,WB,Jhargram,,,,12119,27,12036,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,688596,198807,896145,1588066,19081,1561136,18995979,53664679,20361143,74025822
15,2021-10-26,WB,Paschim Medinipur,,,,53452,506,52678,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,2607940,835740,3452439,1588066,19081,1561136,18995979,53664679,20361143,74025822
16,2021-10-26,WB,Purba Medinipur,,,,63022,396,62465,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,3514841,1403394,4940331,1588066,19081,1561136,18995979,53664679,20361143,74025822
17,2021-10-26,WB,Purba Bardhaman,,,,41900,198,41463,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,2473483,828332,3318518,1588066,19081,1561136,18995979,53664679,20361143,74025822
18,2021-10-26,WB,Paschim Bardhaman,,,,57620,356,57072,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1732999,632961,2388704,1588066,19081,1561136,18995979,53664679,20361143,74025822
19,2021-10-26,WB,Howrah,,,,98367,1522,96223,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,2753048,1189917,3974448,1588066,19081,1561136,18995979,53664679,20361143,74025822
20,2021-10-26,WB,Hooghly,,,,85942,989,84293,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,3165757,1273804,4452499,1588066,19081,1561136,18995979,53664679,20361143,74025822
21,2021-10-26,WB,North 24 Parganas,,,,328481,4815,322394,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1201167,444843,1654111,1588066,19081,1561136,18995979,53664679,20361143,74025822
22,2021-10-26,WB,South 24 Parganas,,,,100558,1332,98605,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,4643026,1712639,6409553,1588066,19081,1561136,18995979,53664679,20361143,74025822
23,2021-10-26,WB,Kolkata,,,,321175,5136,314002,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,4759389,2906530,7706649,1588066,19081,1561136,18995979,53664679,20361143,74025822
24,2021-10-26,WB,Other State,,,,66,3,63,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,,,,1588066,19081,1561136,18995979,53664679,20361143,74025822
