,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
12,2021-10-26,India,,,,,,,,,Himachal Pradesh,,,,,,,,,,,,,222638,3736,217406,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
13,2021-10-26,India,,,,,,,,,Jammu and Kashmir,,,,,,,,,,,,,331638,4429,326343,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
14,2021-10-26,India,,,,,,,,,Jharkhand,,,,,,,,,,,,,348627,5135,343268,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
15,2021-10-26,India,,,,,,,,,Karnataka,,,,,,,,,,,,,2985986,38007,2939239,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
16,2021-10-26,India,,,,,,,,,Kerala,,,,,,,,,,,,,4915331,28592,4808775,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
17,2021-10-26,India,,,,,,,,,Ladakh,,,,,,,,,,,,,20904,208,20659,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
18,2021-10-26,India,,,,,,,,,Lakshadweep,,,,,,,,,,,,,10365,51,10314,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
19,2021-10-26,India,,,,,,,,,Maharashtra,,,,,,,,,,,,,6602961,140016,6435439,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
20,2021-10-26,India,,,,,,,,,Manipur,,,,,,,,,,,,,123292,1911,120450,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
21,2021-10-26,India,,,,,,,,,Meghalaya,,,,,,,,,,,,,83371,1446,81286,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
22,2021-10-26,India,,,,,,,,,Mizoram,,,,,,,,,,,,,117419,412,108927,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
23,2021-10-26,India,,,,,,,,,Madhya Pradesh,,,,,,,,,,,,,792749,10523,782141,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
24,2021-10-26,India,,,,,,,,,Nagaland,,,,,,,,,,,,,31712,679,30790,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
25,2021-10-26,India,,,,,,,,,Odisha,,,,,,,,,,,,,1038411,8309,1025917,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
26,2021-10-26,India,,,,,,,,,Puducherry,,,,,,,,,,,,,127735,1857,125411,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
27,2021-10-26,India,,,,,,,,,Punjab,,,,,,,,,,,,,602209,16551,585429,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
28,2021-10-26,India,,,,,,,,,Rajasthan,,,,,,,,,,,,,954402,8954,945417,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
29,2021-10-26,India,,,,,,,,,Sikkim,,,,,,,,,,,,,31900,394,31306,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
30,2021-10-26,India,,,,,,,,,Tamil Nadu,,,,,,,,,,,,,2695216,36019,2646163,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
31,2021-10-26,India,,,,,,,,,Telengana,,,,,,,,,,,,,670274,3947,662377,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
32,2021-10-26,India,,,,,,,,,Tripura,,,,,,,,,,,,,84389,816,83475,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
33,2021-10-26,India,,,,,,,,,Uttar Pradesh,,,,,,,,,,,,,1710095,22899,1687093,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
34,2021-10-26,India,,,,,,,,,Uttarakhand,,,,,,,,,,,,,343821,7399,336259,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
35,2021-10-26,India,,,,,,,,,West Bengal,,,,,,,,,,,,,1586455,19055,1559518,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
