,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
10,Gujarat,826464,816205,10088,30690456.0,51960.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,30,18,0,723131196,312530766,2422950,3630660,44520171,24830984,63668,288427,2021-10-26,TT
11,Himachal Pradesh,223145,217645,3723,3639799.0,10046.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,255,150,2,723131196,312530766,2422950,3630660,5704585,3284343,2250,39762,2021-10-26,TT
12,Haryana,771189,761012,10049,12919062.0,21879.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,15,13,0,723131196,312530766,2422950,3630660,17674592,7887852,32206,70050,2021-10-26,TT
13,Jharkhand,348677,343352,5135,15521299.0,0.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,18,23,0,723131196,312530766,2422950,3630660,14772014,5291583,45784,72313,2021-10-26,TT
14,Jammu and Kashmir,331795,326510,4431,16010290.0,34999.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,97,77,1,723131196,312530766,2422950,3630660,9489181,4848535,5899,55031,2021-10-26,TT
15,Karnataka,2986553,2939990,38024,50314135.0,75283.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,277,343,7,723131196,312530766,2422950,3630660,42013339,21856656,65740,166202,2021-10-26,TT
16,Kerala,4929158,4824745,29355,37520098.0,79122.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,7163,6960,482,723131196,312530766,2422950,3630660,25237242,13190998,21494,183131,2021-10-26,TT
17,Ladakh,20917,20668,208,553576.0,288.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,9,5,0,723131196,312530766,2422950,3630660,208526,151368,116,266,2021-10-26,TT
18,Lakshadweep,10365,10270,51,262570.0,317.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,0,0,0,723131196,312530766,2422950,3630660,55069,45427,1,110,2021-10-26,TT
19,Maharashtra,6605051,6438395,140060,62080203.0,102048.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,1201,1370,32,723131196,312530766,2422950,3630660,66132019,30148927,264882,215172,2021-10-26,TT
20,Meghalaya,83415,81440,1446,1141539.0,2805.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,31,89,0,723131196,312530766,2422950,3630660,1097818,615251,1258,7896,2021-10-26,TT
21,Manipur,123403,120615,1915,1358295.0,2129.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,70,81,2,723131196,312530766,2422950,3630660,1244261,671717,980,9342,2021-10-26,TT
22,Madhya Pradesh,792784,782162,10523,20006707.0,58896.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,27,12,0,723131196,312530766,2422950,3630660,49802635,19315015,13379,149297,2021-10-26,TT
23,Mizoram,118209,110761,419,1266596.0,8380.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,790,1059,7,723131196,312530766,2422950,3630660,709232,505620,940,2066,2021-10-26,TT
24,Nagaland,31747,29807,681,392218.0,867.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,21,39,0,723131196,312530766,2422950,3630660,706835,477339,819,4283,2021-10-26,TT
25,Odisha,1039269,1026774,8369,21647068.0,61935.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,433,497,4,723131196,312530766,2422950,3630660,25264236,10930527,126763,146427,2021-10-26,TT
26,Punjab,602251,585471,16554,15255962.0,34116.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,13,23,1,723131196,312530766,2422950,3630660,15826694,6106073,49757,53219,2021-10-26,TT
27,Puducherry,127806,125496,1857,1903705.0,3122.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,41,42,0,723131196,312530766,2422950,3630660,730702,395214,1560,4247,2021-10-26,TT
28,Rajasthan,954407,945433,8954,14735295.0,18034.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,4,1,0,723131196,312530766,2422950,3630660,42355630,19460720,46044,119734,2021-10-26,TT
29,Sikkim,31912,31022,395,259222.0,518.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,8,12,1,723131196,312530766,2422950,3630660,521288,444281,142,2749,2021-10-26,TT
30,Telangana,670643,662592,3950,27388721.0,41388.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,190,111,1,723131196,312530766,2422950,3630660,21687768,9103664,135931,148462,2021-10-26,TT
31,Tamil Nadu,2697418,2648830,36048,50544014.0,120376.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,1090,1326,15,723131196,312530766,2422950,3630660,40652636,16330618,94237,172312,2021-10-26,TT
32,Tripura,84402,83416,813,1966415.0,3660.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,16,4,0,723131196,312530766,2422950,3630660,2506405,1582838,973,17833,2021-10-26,TT
33,Uttar Pradesh,1710101,1687108,22899,82792074.0,148943.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,4,7,0,723131196,312530766,2422950,3630660,96899855,30837061,399394,618795,2021-10-26,TT
34,Uttarakhand,343844,330145,7399,7719760.0,11709.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,12,8,0,723131196,312530766,2422950,3630660,7461705,3722696,4346,42091,2021-10-26,TT
35,West Bengal,1588066,1561136,19081,18995979.0,38690.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,806,811,15,723131196,312530766,2422950,3630660,53664679,20361143,623193,316434,2021-10-26,TT
