District,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
Jharkhand,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Jharkhand,0,0,0,0,0,0,0,24089.0,23.0,5728.0,,966840.0,496934.0,37403000,,,,382054,5172,350863,,19786449,11960933,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Karnataka,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Karnataka,14473,5,1356,0,0,0,0,64803.0,24.0,5051.0,,1448797.0,1032228.0,65798000,,,,3078129,38379,2966461,,50198012,40003092,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Kerala,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Kerala,9066,296,2064,0,0,0,0,41791.0,1416.0,16110.0,,727532.0,411670.0,35125000,,,,5300405,50053,5205210,,27116671,21768334,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Ladakh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Ladakh,41,0,32,0,0,0,0,406.0,2.0,263.0,,7511.0,450.0,293000,,,,22727,222,22099,,222995,176325,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Lakshadweep,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Lakshadweep,0,0,0,0,0,0,0,1.0,0.0,3.0,,2473.0,272.0,68000,,,,10420,51,10368,,59021,53251,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Madhya Pradesh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Madhya Pradesh,0,0,0,0,0,0,0,8874.0,4.0,1300.0,,1997768.0,220184.0,82232000,,,,803643,10538,784506,,55421630,50633109,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Maharashtra,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Maharashtra,0,0,0,0,0,0,0,223020.0,74.0,83187.0,,2957359.0,2216718.0,122153000,,,,6953514,141647,6602103,,83967585,56815028,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Manipur,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Manipur,116,1,14,0,0,0,0,466.0,6.0,178.0,,18538.0,15893.0,3103000,,,,126344,2012,123793,,1348731,1012589,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Meghalaya,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Meghalaya,0,0,0,0,0,0,0,423.0,2.0,70.0,,24990.0,15480.0,3224000,,,,85304,1487,83369,,1262063,903292,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Mizoram,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Mizoram,0,0,0,0,0,0,0,4867.0,9.0,1110.0,,26021.0,5524.0,1192000,,,,147558,562,141086,,773081,593011,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Nagaland,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Nagaland,29,0,21,0,0,0,0,121.0,1.0,70.0,,10957.0,7911.0,2150000,,,,32331,703,31516,,770046,584919,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Odisha,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Odisha,7071,1,752,0,0,0,0,26109.0,5.0,2407.0,,1088491.0,1054516.0,43671000,,,,1082769,8469,1047783,,30737420,22401408,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Puducherry,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Puducherry,655,0,22,0,0,0,0,2247.0,1.0,105.0,,51148.0,15327.0,1504000,,,,131866,1882,127629,,899766,584900,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Punjab,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Punjab,0,0,0,0,0,0,0,18420.0,30.0,1697.0,,491062.0,776121.0,29859000,,,,625347,16683,589285,,17729592,10271128,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Rajasthan,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Rajasthan,0,0,0,0,0,0,0,23702.0,9.0,1788.0,,2329025.0,1131826.0,77264000,,,,982272,8974,948210,,50201485,36748382,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Sikkim,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Sikkim,0,0,0,0,0,0,0,301.0,1.0,43.0,,12488.0,1512.0,664000,,,,32831,410,32107,,545246,485720,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Tamil Nadu,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Tamil Nadu,15379,20,3043,0,0,0,0,74068.0,81.0,11316.0,,2178487.0,1577412.0,75695000,,,,2829655,36886,2717686,,53040897,36099375,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Telangana,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Telangana,0,0,0,0,0,0,0,11832.0,10.0,1685.0,,1102642.0,874947.0,37220000,,,,695855,4043,676817,,29248305,20371320,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Tripura,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Tripura,-3,-3,-65,0,0,0,0,1298.0,-1.0,103.0,,67000.0,11032.0,3992000,,,,86512,828,84287,,2692204,2146440,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Uttar Pradesh,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Uttar Pradesh,0,0,0,0,0,0,0,31765.0,16.0,976.0,,7289678.0,5499975.0,224979000,,,,1745861,22932,1688983,,137136973,80926965,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
Uttarakhand,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,Uttarakhand,0,0,0,0,0,0,0,6214.0,9.0,1850.0,,282400.0,169184.0,11141000,,,,352177,7429,339739,,8271727,6638348,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
West Bengal,2022-01-11,TT,75661,317,14316,0,0,0,,933093.0,1979.0,262644.0,9338038.0,34865276.0,24019453.0,West Bengal,0,0,0,0,0,0,0,110031.0,107.0,46205.0,,2239341.0,2436866.0,96906000,,,,1774332,19917,1665221,,67377353,44089766,2022-01-11 23:55:23.775566,1332900000,,https://www.icmr.gov.in/,,35951451,484530,34584447,693155280,896059221,640354922
