,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
43,43,43,43,43,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Kasganj,,,,,11642,5644,,,,,,62743.0,27735.0,1438156,,,,,,,,734433,224870,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
44,44,44,44,44,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Kaushambi,,,,,6244,6422,,,,,,45449.0,37096.0,1596909,,,,,,,,897110,305083,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
45,45,45,45,45,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Kushinagar,,,,,5132,14929,,,,,,32172.0,91831.0,3560830,,,,,,,,1693626,650470,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
46,46,46,46,46,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Lakhimpur Kheri,,,,,16998,14292,,,,,,82195.0,81648.0,4013634,,,,,,,,1999517,585242,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
47,47,47,47,47,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Lalitpur,,,,,2134,6215,,,,,,10602.0,28592.0,1218002,,,,,,,,653881,211460,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
48,48,48,48,48,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Lucknow,,,,,9564,15365,,,,,,41034.0,79056.0,4588455,,,,,,,,3232336,1736750,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
49,49,49,49,49,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Maharajganj,,,,,4184,13489,,,,,,23008.0,72572.0,2665292,,,,,,,,1344980,538945,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
50,50,50,50,50,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Mahoba,,,,,1119,3169,,,,,,3409.0,10143.0,876055,,,,,,,,456964,180639,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
51,51,51,51,51,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Mainpuri,,,,,8792,8334,,,,,,60928.0,52896.0,1847194,,,,,,,,993255,359514,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
52,52,52,52,52,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Mathura,,,,,12662,12628,,,,,,58267.0,69910.0,2541894,,,,,,,,1305801,560116,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
53,53,53,53,53,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Mau,,,,,10248,8018,,,,,,73803.0,51246.0,2205170,,,,,,,,1141817,435391,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
54,54,54,54,54,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Meerut,,,,,14447,14810,,,,,,59582.0,73667.0,3447405,,,,,,,,1879895,1021276,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
55,55,55,55,55,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Mirzapur,,,,,6875,12187,,,,,,37284.0,64947.0,2494533,,,,,,,,1417798,619843,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
56,56,56,56,56,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Moradabad,,,,,24263,12386,,,,,,80983.0,54388.0,4773138,,,,,,,,1559309,578939,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
