,Unnamed: 0,Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,last_updated,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
21,21,2022-08-30,TT,Meghalaya,96420,1618,94706,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,2590832,1439414,1077597,73821,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,185,320,532,1037,10,7,1,,,1332900000,Meghalaya,3224000
22,22,2022-08-30,TT,Mizoram,236967,720,235711,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,1732160,890694,736834,104632,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,90,184,669,943,103,156,0,,,1332900000,Mizoram,1192000
23,23,2022-08-30,TT,Madhya Pradesh,1053387,10770,1042183,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,128569266,60628491,58857380,9083395,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,6642,8467,99063,114172,48,84,0,,,1332900000,Madhya Pradesh,82232000
24,24,2022-08-30,TT,Nagaland,35905,777,35112,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,1713810,920192,737702,55916,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,72,142,361,575,0,1,0,,,1332900000,Nagaland,2150000
25,25,2022-08-30,TT,Odisha,1327150,9174,1315929,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,75421343,35129665,32616431,7675247,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,4242,13549,172681,190472,221,0,2,,,1332900000,Odisha,43671000
26,26,2022-08-30,TT,Puducherry,172784,1968,170474,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,2061731,988657,812013,261061,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,282,1888,6507,8677,30,23,0,,,1332900000,Puducherry,1504000
27,27,2022-08-30,TT,Punjab,780183,17896,761029,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,46474268,24104140,20820800,1549328,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,1501,5133,12616,19250,-2492,13928,0,,,1332900000,Punjab,29859000
28,28,2022-08-30,TT,Rajasthan,1308288,9625,1295644,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,112973424,56830580,50391244,5751600,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,7086,22374,99194,128654,218,429,1,,,1332900000,Rajasthan,77264000
29,29,2022-08-30,TT,Sikkim,43666,488,43017,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,1305889,590804,551806,163279,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,17,39,779,835,16,52,2,,,1332900000,Sikkim,664000
30,30,2022-08-30,TT,Tamil Nadu,3567672,38035,3524433,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,122460192,60811839,55889492,5758861,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,8209,15194,19363,42766,512,575,1,,,1332900000,Tamil Nadu,75695000
31,31,2022-08-30,TT,Telangana,834143,4111,828108,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,69058439,32368801,31264309,5425329,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,2657,8078,232591,243326,192,345,0,,,1332900000,Telangana,37220000
32,32,2022-08-30,TT,Tripura,107718,938,106746,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,5722893,2910935,2503057,308901,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,366,872,7655,8893,9,11,0,,,1332900000,Tripura,3992000
33,33,2022-08-30,TT,Uttar Pradesh,2121969,23602,2095267,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,369663550,176625346,167464947,25573257,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,8960,32936,422459,464355,0,0,0,,,1332900000,Uttar Pradesh,224979000
34,34,2022-08-30,TT,Uttarakhand,448132,7737,438829,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,19493615,9097233,8660409,1735973,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,539,1512,21005,23056,64,163,1,,,1332900000,Uttarakhand,11141000
35,35,2022-08-30,TT,West Bengal,2106624,21461,2082447,2022-08-29 23:55:27.467980,44418585,527829,43825024,885208552,2121930810,1024453808,942126090,155350912,153577745,73436232,66388883,13752630,https://www.icmr.gov.in/,2862,30,22031,0,2338834,267080,95071,2700985,5876,14076,158757,178709,100,311,1,,,1332900000,West Bengal,96906000
