,Unnamed: 0,Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,last_updated,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,tested_last_updated_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
15,15,2021-11-01,TT,Karnataka,2988333,38082,2941578,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,56687438,39347554,17339884,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-3148655,-5517432,-8666087,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Karnataka,65798000
16,16,2021-11-01,TT,Kerala,4968657,31681,4857181,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,35769969,24730896,11039073,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-575603,-2619264,-3194867,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Kerala,35125000
17,17,2021-11-01,TT,Ladakh,20962,208,20687,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,344186,205532,138654,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-3266,-13626,-16892,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Ladakh,293000
18,18,2021-11-01,TT,Lakshadweep,10365,51,10314,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,96764,54843,41921,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-286,-4030,-4316,0,44,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Lakshadweep,68000
19,19,2021-11-01,TT,Maharashtra,6611078,140216,6450585,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,82735878,58105633,24630245,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-9090697,-6344514,-15435211,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Maharashtra,122153000
20,20,2021-11-01,TT,Manipur,123731,1921,121102,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1714017,1224679,489338,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-24757,-230072,-254829,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Manipur,3103000
21,21,2021-11-01,TT,Meghalaya,83627,1450,81746,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1550827,1072825,478002,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-30448,-163814,-194262,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Meghalaya,3224000
22,22,2021-11-01,TT,Mizoram,121524,433,114612,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1143638,697715,445923,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-13880,-66094,-79974,165,0,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Mizoram,1192000
23,23,2021-11-01,TT,Madhya Pradesh,792854,10524,782215,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,63804532,48530783,15273749,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1381046,-5563363,-6944409,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Madhya Pradesh,82232000
24,24,2021-11-01,TT,Nagaland,31842,685,30947,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1060625,688096,372529,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-21455,-118122,-139577,0,1043,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Nagaland,2150000
25,25,2021-11-01,TT,Odisha,1041457,8333,1028697,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,31007510,22367403,8640107,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-3367873,-2919465,-6287338,0,-450,-53,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Odisha,43671000
26,26,2021-11-01,TT,Puducherry,128013,1857,125726,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1023732,703471,320261,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-30486,-84126,-114612,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Puducherry,1504000
27,27,2021-11-01,TT,Punjab,602401,16559,585591,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,19595089,14543687,5051402,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1398836,-1187387,-2586223,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Punjab,29859000
28,28,2021-11-01,TT,Rajasthan,954429,8954,945443,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,56373041,40553626,15819415,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1989428,-4274574,-6264002,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Rajasthan,77264000
29,29,2021-11-01,TT,Sikkim,31979,396,31388,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,912325,518638,393687,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-3125,-57822,-60947,0,325,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Sikkim,664000
30,30,2021-11-01,TT,Tamil Nadu,2702623,36116,2655015,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,47507210,36159579,11347631,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-5117448,-6270510,-11387958,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Tamil Nadu,75695000
31,31,2021-11-01,TT,Telangana,671463,3956,663498,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,26005116,18870374,7134742,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-3627114,-2637139,-6264253,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Telangana,37220000
32,32,2021-11-01,TT,Tripura,84504,816,83545,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,3901423,2496257,1405166,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-12219,-215815,-228034,36,79,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Tripura,3992000
33,33,2021-11-01,TT,Uttar Pradesh,1710158,22900,1687151,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,108813190,87416553,21396637,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-10759228,-11281912,-22041140,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Uttar Pradesh,224979000
34,34,2021-11-01,TT,Uttarakhand,343896,7400,336345,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,10534912,7367930,3166982,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-110069,-731157,-841226,0,6150,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Uttarakhand,11141000
35,35,2021-11-01,TT,West Bengal,1592908,19141,1565471,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,58401332,41545724,16855608,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-14637681,-4702546,-19340227,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,72766987,52563876,20203111,,,1332900000,West Bengal,96906000
