,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
10,10,10,10,10,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Karimnagar,,,,,1943,7761,0,,,,,659110,392623,1016063,,,,,,,,659110,392623,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,1051733.0,9704
11,11,11,11,11,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Khammam,,,,,10315,15366,0,,,,,867022,349178,1401639,,,,,,,,867022,349178,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,1216200.0,25681
12,12,12,12,12,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Komaram Bheem,,,,,2780,594,0,,,,,278424,52187,515835,,,,,,,,278424,52187,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,330611.0,3374
13,13,13,13,13,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Mahabubabad,,,,,3875,3297,0,,,,,472074,175304,1318110,,,,,,,,472074,175304,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,647378.0,7172
14,14,14,14,14,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Mahabubnagar,,,,,4574,1759,0,,,,,487121,152399,0,,,,,,,,487121,152399,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,639520.0,6333
15,15,15,15,15,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Mancherial,,,,,3897,2228,0,,,,,483966,172486,807037,,,,,,,,483966,172486,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,656452.0,6125
16,16,16,16,16,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Medak,,,,,3804,5173,0,,,,,462452,145951,767428,,,,,,,,462452,145951,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,608403.0,8977
17,17,17,17,17,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Medchal Malkajgiri,,,,,10634,14711,0,,,,,2160592,1332543,2542203,,,,,,,,2160592,1332543,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,3493135.0,25345
18,18,18,18,18,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Mulugu,,,,,517,1283,0,,,,,186621,77931,294671,,,,,,,,186621,77931,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,264552.0,1800
19,19,19,19,19,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Nagarkurnool,,,,,5555,612,0,,,,,470443,107201,893308,,,,,,,,470443,107201,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,577644.0,6167
20,20,20,20,20,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Nalgonda,,,,,16484,5989,0,,,,,907792,260207,1631399,,,,,,,,907792,260207,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,1167999.0,22473
21,21,21,21,21,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Narayanpet,,,,,2590,610,0,,,,,290978,50829,566874,,,,,,,,290978,50829,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,341807.0,3200
22,22,22,22,22,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Nirmal,,,,,2171,1586,0,,,,,380486,131693,709415,,,,,,,,380486,131693,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,512179.0,3757
23,23,23,23,23,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Nizamabad,,,,,13332,2231,0,,,,,871906,253093,1534428,,,,,,,,871906,253093,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,1124999.0,15563
24,24,24,24,24,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Peddapalli,,,,,3510,3222,0,,,,,467020,205162,795332,,,,,,,,467020,205162,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,672182.0,6732
25,25,25,25,25,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Rajanna Sircilla,,,,,1442,1584,0,,,,,373507,146264,546121,,,,,,,,373507,146264,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,519771.0,3026
26,26,26,26,26,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Ranga Reddy,,,,,13526,14378,0,,,,,2362068,1305782,2551731,,,,,,,,2362068,1305782,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,3667850.0,27904
27,27,27,27,27,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Sangareddy,,,,,8499,4145,0,,,,,859894,303461,1527628,,,,,,,,859894,303461,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,1163355.0,12644
28,28,28,28,28,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Siddipet,,,,,5604,3845,0,,,,,588054,246307,993376,,,,,,,,588054,246307,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,834361.0,9449
29,29,29,29,29,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Suryapet,,,,,6537,5671,0,,,,,617261,213949,1099560,,,,,,,,617261,213949,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,831210.0,12208
30,30,30,30,30,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Vikarabad,,,,,3268,815,0,,,,,430937,88804,881250,,,,,,,,430937,88804,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,519741.0,4083
31,31,31,31,31,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Wanaparthy,,,,,2335,1859,0,,,,,291747,83729,751553,,,,,,,,291747,83729,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,375476.0,4194
32,32,32,32,32,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Warangal Rural,,,,,2855,2402,0,,,,,345736,107691,716457,,,,,,,,345736,107691,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,453427.0,5257
33,33,33,33,33,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Warangal Urban,,,,,3442,8346,0,,,,,690852,427293,1135707,,,,,,,,690852,427293,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,1118145.0,11788
34,34,34,34,34,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Yadadri Bhuvanagiri,,,,,6821,4618,0,,,,,470675,228124,726465,,,,,,,,470675,228124,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,698799.0,11439
35,35,35,35,35,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Unknown,121.0,1.0,183.0,,0,0,0,,,,,0,0,0,,,,671463.0,3956.0,663498.0,,0,0,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,,0
