,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
20,20,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Munger,0,0,0,,851,2867,0,,,,,707588,264665,1359054,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,15111,158,14953,,707588,264665,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,972253.0,3718
21,21,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Muzaffarpur,0,0,0,,3545,7023,0,,,,,2253919,717015,4778610,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,31398,621,30777,,2253919,717015,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2970934.0,10568
22,22,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Nalanda,0,0,0,,2168,1826,0,,,,,1393762,638181,2872523,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,23432,468,22964,,1393762,638181,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2031943.0,3994
23,23,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Nawada,0,0,0,,4176,4338,0,,,,,1062349,274319,2216653,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,10353,178,10174,,1062349,274319,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1336668.0,8514
24,24,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,West Champaran,0,0,0,,7525,6316,0,,,,,1784016,469332,3935042,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,20890,358,20532,,1784016,469332,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2253348.0,13841
25,25,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Patna,2,0,3,,737,2024,0,147000.7142857143,2334.0,144646.14285714287,,3421614,2366474,5772804,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,147007,2334,144651,,3421614,2366474,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,5788088.0,2761
26,26,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,East Champaran,0,0,0,,2434,8014,0,,,,,2498559,1002939,5082868,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,19017,430,18585,,2498559,1002939,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,3501498.0,10448
27,27,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Purnia,0,0,0,,2821,1959,0,,,,,1603099,729224,3273127,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,24427,180,24247,,1603099,729224,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2332323.0,4780
28,28,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Rohtas,0,0,0,,4911,4149,0,,,,,1498172,465660,2962593,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,13980,271,13707,,1498172,465660,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1963832.0,9060
29,29,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Saharsa,0,0,0,,28493,18126,0,,,,,995618,366567,1897102,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,17616,134,17482,,995618,366567,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1362185.0,46619
30,30,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Samastipur,1,0,1,,3216,5157,0,,,,,1991102,555728,4254782,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,20020,155,19864,,1991102,555728,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2546830.0,8373
31,31,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Saran,0,0,2,,4149,6693,0,,,,,1868014,736766,3943098,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,23278,255,23020,,1868014,736766,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2604780.0,10842
32,32,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Sheikhpura,0,0,0,,345,788,0,,,,,287209,95322,634927,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,7693,75,7618,,287209,95322,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,382531.0,1133
33,33,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Sheohar,0,0,0,,666,1629,0,,,,,300967,108766,656916,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,4404,36,4368,,300967,108766,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,409733.0,2295
34,34,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Sitamarhi,0,0,0,,3873,5476,0,,,,,1511464,424182,3419622,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,9185,127,9058,,1511464,424182,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1935646.0,9349
35,35,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Siwan,0,0,0,,1163,4030,0,,,,,1670590,684755,3318176,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,15195,170,15025,,1670590,684755,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2355345.0,5193
36,36,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Supaul,0,0,0,,3029,5131,0,,,,,1069993,369925,2228397,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,17222,129,17093,,1069993,369925,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1439918.0,8160
37,37,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Vaishali,0,0,0,,1522,2621,0,,,,,1671469,478638,3495021,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,19827,192,19632,,1671469,478638,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2150107.0,4143
