,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
10,10,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Birbhum,20,0,20,,4866,595,0,,,,,1347795,531297,3502387,,,,41197,286,40727,,1347795,531297,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1879092.0,5461
11,11,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Purulia,2,0,3,,13266,1866,0,,,,,1679941,492310,2927965,,,,19419,113,19283,,1679941,492310,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,2172251.0,15132
12,12,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Bankura,30,0,21,,29454,4451,0,,,,,1525144,484174,3596292,,,,36313,274,35839,,1525144,484174,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,2009318.0,33905
13,13,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Jhargram,3,0,5,,477,700,0,,,,,714456,211586,1136548,,,,12135,27,12063,,714456,211586,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,926042.0,1177
14,14,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Paschim Medinipur,26,0,28,,6512,1457,0,,,,,2758576,877978,5094238,,,,53581,507,52820,,2758576,877978,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,3636554.0,7969
15,15,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Purba Medinipur,16,0,17,,1345809,623828,0,,,,,2219283,849836,4417377,,,,63098,397,62549,,3560589,1471674,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,5032263.0,1969637
16,16,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Purba Bardhaman,16,0,25,,17168,4002,0,,,,,2596246,859528,4835532,,,,42005,198,41588,,2596246,859528,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,3455774.0,21170
17,17,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Paschim Bardhaman,32,0,25,,286,786,0,57681.57142857143,356.0,57115.57142857143,,1789611,677747,2882031,,,,57778,356,57184,,1789611,677747,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,2467358.0,1072
18,18,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Howrah,73,0,73,,14299,4502,0,,,,,2905925,1254076,4841638,,,,98757,1524,96567,,2905925,1254076,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,4160001.0,18801
19,19,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Hooghly,58,0,74,,41006,9034,0,,,,,3368156,1343978,5520389,,,,86300,990,84650,,3368156,1343978,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,4712134.0,50040
20,20,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,North 24 Parganas,144,6,147,,3061,950,0,,,,,1266552,464182,10082852,,,,329257,4833,323097,,1266552,464182,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1730734.0,4011
21,21,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,South 24 Parganas,75,1,74,,1408,1224,0,,,,,1882480,699973,8153176,,,,100957,1336,98950,,1882480,699973,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,2582453.0,2632
22,22,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Kolkata,274,6,244,,334,1626,0,,,,,4784084,3039486,4486679,,,,322541,5152,315146,,4784084,3039486,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,7823570.0,1960
23,23,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Other State,0,0,0,,0,0,0,,,,,0,0,0,,,,66,3,63,,0,0,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,,0
