,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
13,Jharkhand,348764,343518,5138,15985878.0,31238.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,10,8,0,733933307,329507693,761452,957422,14983565,5582373,39921,50263,2021-10-31,TT
14,Jammu and Kashmir,332249,326915,4432,16202346.0,38915.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,95,79,0,733933307,329507693,761452,957422,9511010,5146748,1862,46824,2021-10-31,TT
15,Karnataka,2988333,2941578,38082,50873103.0,106939.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,292,345,11,733933307,329507693,761452,957422,42496209,22857316,16747,28642,2021-10-31,TT
16,Kerala,4968657,4857181,31681,37886378.0,65158.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,7167,6439,167,733933307,329507693,761452,957422,25306499,13658337,2045,12063,2021-10-31,TT
17,Ladakh,20962,20687,208,555568.0,388.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,11,9,0,733933307,329507693,761452,957422,208798,152280,0,3,2021-10-31,TT
18,Lakshadweep,10365,10270,51,263541.0,31.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,0,0,0,733933307,329507693,761452,957422,55129,45951,0,5,2021-10-31,TT
19,Maharashtra,6611078,6450585,140216,62667211.0,108040.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,1172,1399,20,733933307,329507693,761452,957422,67196330,30974759,53616,32625,2021-10-31,TT
20,Meghalaya,83627,81746,1450,1151665.0,1559.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,22,51,1,733933307,329507693,761452,957422,1103273,641816,36,201,2021-10-31,TT
21,Manipur,123731,121102,1921,1367673.0,1689.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,63,62,1,733933307,329507693,761452,957422,1249436,719410,705,4280,2021-10-31,TT
22,Madhya Pradesh,792854,782215,10524,20294225.0,55368.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,16,8,0,733933307,329507693,761452,957422,49911829,20837112,5924,79556,2021-10-31,TT
23,Mizoram,121359,114612,432,1298444.0,5945.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,579,610,2,733933307,329507693,761452,957422,711595,512017,129,39,2021-10-31,TT
24,Nagaland,31842,29904,685,395416.0,468.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,11,21,1,733933307,329507693,761452,957422,709551,490651,190,811,2021-10-31,TT
25,Odisha,1041457,1029147,8386,21994343.0,69675.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,488,450,4,733933307,329507693,761452,957422,25735276,11559572,21363,26189,2021-10-31,TT
26,Punjab,602401,585591,16559,15429415.0,34152.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,26,25,1,733933307,329507693,761452,957422,15942523,6238789,3872,4866,2021-10-31,TT
27,Puducherry,128013,125726,1857,1919060.0,2662.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,38,45,0,733933307,329507693,761452,957422,733957,404387,169,530,2021-10-31,TT
28,Rajasthan,954429,945443,8954,14807752.0,13454.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,2,2,0,733933307,329507693,761452,957422,42543054,20093989,10670,33555,2021-10-31,TT
29,Sikkim,31979,31063,396,261343.0,389.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,21,8,1,733933307,329507693,761452,957422,521763,451509,0,0,2021-10-31,TT
30,Telangana,671463,663498,3956,27569831.0,25021.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,121,183,1,733933307,329507693,761452,957422,22497488,9771881,39624,27664,2021-10-31,TT
31,Tamil Nadu,2702623,2655015,36116,51159242.0,123701.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,1009,1183,19,733933307,329507693,761452,957422,41277027,17618141,80116,112538,2021-10-31,TT
32,Tripura,84468,83466,813,1983127.0,3501.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,12,2,0,733933307,329507693,761452,957422,2508476,1620981,10,560,2021-10-31,TT
33,Uttar Pradesh,1710158,1687151,22900,83635222.0,161458.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,6,6,0,733933307,329507693,761452,957422,98175781,32678549,56343,57993,2021-10-31,TT
34,Uttarakhand,343896,330195,7400,7781148.0,9524.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,5,9,0,733933307,329507693,761452,957422,7477999,3898139,1067,13216,2021-10-31,TT
35,West Bengal,1592908,1565471,19141,19228303.0,47417.0,34285612,33661339,458470,609201294.0,12907,13152,251,881379,914,913,15,733933307,329507693,761452,957422,56183405,21558154,207817,59002,2021-10-31,TT
