,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
10,Gujarat,826504,816232,10088,30792214.0,51676.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,23,12,0,727995519,320480487,2939995,4737646,44623330,25286996,57845,258252,2021-10-28,TT
11,Himachal Pradesh,223619,217918,3729,3661951.0,10521.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,213,225,4,727995519,320480487,2939995,4737646,5708905,3359421,2119,37042,2021-10-28,TT
12,Haryana,771217,761035,10049,12965312.0,24055.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,13,13,0,727995519,320480487,2939995,4737646,17716501,7987097,18828,45641,2021-10-28,TT
13,Jharkhand,348720,343429,5137,15521299.0,0.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,15,21,2,727995519,320480487,2939995,4737646,14855287,5416240,37543,57972,2021-10-28,TT
14,Jammu and Kashmir,331963,326668,4432,16084751.0,39467.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,98,72,1,727995519,320480487,2939995,4737646,9501004,4978730,6056,70117,2021-10-28,TT
15,Karnataka,2987313,2940673,38054,50544638.0,113152.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,478,334,17,727995519,320480487,2939995,4737646,42301925,22481249,90314,162141,2021-10-28,TT
16,Kerala,4946341,4836928,30685,37678830.0,76043.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,7738,5460,708,727995519,320480487,2939995,4737646,25262906,13365338,16950,119190,2021-10-28,TT
17,Ladakh,20930,20673,208,554245.0,393.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,5,3,0,727995519,320480487,2939995,4737646,208676,151828,83,231,2021-10-28,TT
18,Lakshadweep,10365,10270,51,262973.0,233.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,0,0,0,727995519,320480487,2939995,4737646,55080,45659,4,138,2021-10-28,TT
19,Maharashtra,6607954,6445454,140134,62316910.0,114099.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,1418,2112,36,727995519,320480487,2939995,4737646,66654590,30548718,260899,203650,2021-10-28,TT
20,Meghalaya,83527,81562,1449,1145897.0,2217.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,61,51,1,727995519,320480487,2939995,4737646,1100763,630349,1522,7984,2021-10-28,TT
21,Manipur,123526,120766,1918,1362098.0,1829.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,53,54,1,727995519,320480487,2939995,4737646,1246400,691679,1111,9731,2021-10-28,TT
22,Madhya Pradesh,792823,782184,10524,20123362.0,58503.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,19,12,0,727995519,320480487,2939995,4737646,49852883,19998665,26655,350849,2021-10-28,TT
23,Mizoram,119496,112600,425,1281539.0,6831.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,547,848,1,727995519,320480487,2939995,4737646,710665,510033,612,1823,2021-10-28,TT
24,Nagaland,31772,29844,684,393494.0,622.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,13,22,3,727995519,320480487,2939995,4737646,708314,484638,583,2904,2021-10-28,TT
25,Odisha,1040230,1027654,8375,21789353.0,70194.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,412,546,4,727995519,320480487,2939995,4737646,25495722,11235447,115121,162725,2021-10-28,TT
26,Punjab,602320,585514,16556,15326640.0,34682.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,31,27,0,727995519,320480487,2939995,4737646,15885123,6168914,36445,38460,2021-10-28,TT
27,Puducherry,127891,125581,1857,1910694.0,3614.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,45,35,0,727995519,320480487,2939995,4737646,732540,400002,748,2130,2021-10-28,TT
28,Rajasthan,954418,945438,8954,14763567.0,11560.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,7,1,0,727995519,320480487,2939995,4737646,42431929,19708816,57752,190603,2021-10-28,TT
29,Sikkim,31939,31041,395,260236.0,410.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,14,11,0,727995519,320480487,2939995,4737646,521508,447665,182,2844,2021-10-28,TT
30,Telangana,671000,662922,3952,27468486.0,38373.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,171,208,1,727995519,320480487,2939995,4737646,22025347,9403427,199291,175624,2021-10-28,TT
31,Tamil Nadu,2699554,2651431,36072,50788402.0,122835.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,1061,1286,12,727995519,320480487,2939995,4737646,40755853,16540092,47716,101191,2021-10-28,TT
32,Tripura,84435,83436,813,1973180.0,3188.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,15,14,0,727995519,320480487,2939995,4737646,2507468,1602603,686,11711,2021-10-28,TT
33,Uttar Pradesh,1710125,1687123,22900,83129251.0,163781.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,11,8,1,727995519,320480487,2939995,4737646,97497563,31707846,347288,514800,2021-10-28,TT
34,Uttarakhand,343869,330173,7400,7747261.0,14067.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,8,10,1,727995519,320480487,2939995,4737646,7469116,3798164,3542,36350,2021-10-28,TT
35,West Bengal,1590032,1562818,19105,19084738.0,45437.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,990,845,9,727995519,320480487,2939995,4737646,54516153,20877386,532782,288835,2021-10-28,TT
