District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Churu,16720,107,16613,305722,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Dausa,13351,62,13289,199844,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Dholpur,11010,48,10961,217824,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Dungarpur,18407,131,18276,237454,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Ganganagar,19353,150,19203,320913,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Hanumangarh,16053,111,15942,355187,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Jaipur,187789,1970,185810,2454021,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Jaisalmer,13639,56,13573,200344,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Jalore,10067,72,9995,364626,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Jhalawar,13612,187,13425,264263,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Jhunjhunu,14811,158,14653,354209,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Jodhpur,112412,1103,111308,1133825,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Karauli,7156,70,7086,161861,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Kota,57053,449,56603,853563,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Nagaur,17737,177,17560,473311,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Other State/Country,337,39,298,6012,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Pali,27324,287,27036,336756,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Pratapgarh,7143,63,7080,190102,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Rajsamand,17044,169,16875,219670,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Sawai Madhopur,10618,61,10557,176946,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Sikar,30618,335,30283,403567,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Sirohi,13732,79,13653,249536,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Tonk,9498,92,9406,232915,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
Udaipur,56405,753,55652,676706,2021-10-25,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,2021-10-25 18:00:00+05:30,Rajasthan,https://twitter.com/dineshkumawat,https://twitter.com/dineshkumawat,954403,8954,945432,14717261
