,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
10,Gujarat,826481,816220,10088,30740538.0,50082.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,17,15,0,725055524,315742841,1924328,3212075,44565485,25028744,45314,197760,2021-10-27,TT
11,Himachal Pradesh,223406,217693,3725,3651430.0,11631.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,261,48,2,725055524,315742841,1924328,3212075,5706786,3322379,2201,38036,2021-10-27,TT
12,Haryana,771204,761022,10049,12941257.0,22195.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,15,10,0,725055524,315742841,1924328,3212075,17697673,7941456,23081,53604,2021-10-27,TT
13,Jharkhand,348705,343408,5135,15521299.0,0.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,28,56,0,725055524,315742841,1924328,3212075,14817744,5358268,45730,66685,2021-10-27,TT
14,Jammu and Kashmir,331865,326596,4431,16045284.0,34994.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,70,86,0,725055524,315742841,1924328,3212075,9494948,4908613,5767,60078,2021-10-27,TT
15,Karnataka,2986835,2940339,38037,50431486.0,117351.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,282,349,13,725055524,315742841,1924328,3212075,42211611,22319108,198272,462452,2021-10-27,TT
16,Kerala,4938603,4831468,29977,37602787.0,82689.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,9445,6723,622,725055524,315742841,1924328,3212075,25245956,13246148,8714,55150,2021-10-27,TT
17,Ladakh,20925,20670,208,553852.0,276.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,8,2,0,725055524,315742841,1924328,3212075,208593,151597,67,229,2021-10-27,TT
18,Lakshadweep,10365,10270,51,262740.0,170.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,0,0,0,725055524,315742841,1924328,3212075,55076,45521,7,94,2021-10-27,TT
19,Maharashtra,6606536,6443342,140098,62202811.0,122608.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,1485,4947,38,725055524,315742841,1924328,3212075,66393691,30345068,261672,196141,2021-10-27,TT
20,Meghalaya,83466,81511,1448,1143680.0,2141.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,51,71,2,725055524,315742841,1924328,3212075,1099241,622365,1423,7114,2021-10-27,TT
21,Manipur,123473,120712,1917,1360269.0,1974.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,70,97,2,725055524,315742841,1924328,3212075,1245289,681948,1028,10231,2021-10-27,TT
22,Madhya Pradesh,792804,782172,10524,20064859.0,58152.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,20,10,1,725055524,315742841,1924328,3212075,49826228,19647816,23593,332801,2021-10-27,TT
23,Mizoram,118949,111752,424,1274708.0,8112.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,740,991,5,725055524,315742841,1924328,3212075,710053,508210,821,2590,2021-10-27,TT
24,Nagaland,31759,29822,681,392872.0,654.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,12,15,0,725055524,315742841,1924328,3212075,707731,481734,896,4395,2021-10-27,TT
25,Odisha,1039818,1027108,8371,21719159.0,72091.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,549,334,2,725055524,315742841,1924328,3212075,25380601,11072722,116365,142195,2021-10-27,TT
26,Punjab,602289,585487,16556,15291958.0,35996.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,38,16,2,725055524,315742841,1924328,3212075,15848678,6130454,21984,24381,2021-10-27,TT
27,Puducherry,127846,125546,1857,1907080.0,3375.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,40,50,0,725055524,315742841,1924328,3212075,731792,397872,1090,2658,2021-10-27,TT
28,Rajasthan,954411,945437,8954,14752007.0,16712.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,4,4,0,725055524,315742841,1924328,3212075,42374177,19518213,18547,57493,2021-10-27,TT
29,Sikkim,31925,31030,395,259826.0,604.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,13,8,0,725055524,315742841,1924328,3212075,521326,444821,38,540,2021-10-27,TT
30,Telangana,670829,662714,3951,27430113.0,41392.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,186,122,1,725055524,315742841,1924328,3212075,21826056,9227803,138288,124139,2021-10-27,TT
31,Tamil Nadu,2698493,2650145,36060,50665567.0,121553.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,1075,1315,12,725055524,315742841,1924328,3212075,40708137,16438901,55501,108283,2021-10-27,TT
32,Tripura,84420,83422,813,1969992.0,3577.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,18,6,0,725055524,315742841,1924328,3212075,2506782,1590892,377,8054,2021-10-27,TT
33,Uttar Pradesh,1710114,1687115,22899,82965470.0,173396.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,13,7,0,725055524,315742841,1924328,3212075,97150275,31193046,250420,355985,2021-10-27,TT
34,Uttarakhand,343861,330163,7399,7733194.0,13434.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,17,18,0,725055524,315742841,1924328,3212075,7465574,3761814,3869,39118,2021-10-27,TT
35,West Bengal,1589042,1561973,19096,19039301.0,43322.0,34231243,33606777,456418,604498405.0,16351,17077,734,1290900,976,837,15,725055524,315742841,1924328,3212075,53983371,20588551,318692,227408,2021-10-27,TT
