,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
10,Gujarat,1224214,1213173,10943,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,107030310,53777326,50719963,2533021,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,7723,62850,10501,81074,19,12,1,,,1332900000,Gujarat,67936000
11,Haryana,988156,976097,10618,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,42360370,23271302,18737340,351728,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,12391,23671,6028,42090,367,201,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,284737,280526,4134,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,12786643,6543363,5990229,253051,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,2644,7849,2562,13055,11,3,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,453966,449160,4751,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,22520262,11234153,10911631,374478,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,9097,17133,1729,27959,10,8,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,435196,429857,5316,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,39152383,23055005,15802895,294483,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,9020,20469,2284,31773,7,1,1,,,1332900000,Jharkhand,37403000
15,Karnataka,3946645,3904996,40057,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,105542770,53865192,50106557,1571021,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,15602,35658,12338,63598,100,49,0,,,1332900000,Karnataka,65798000
16,Kerala,6538536,6467215,68750,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,53882947,28305281,24184990,1392676,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,5740,8666,15830,30236,332,256,48,,,1332900000,Kerala,35125000
17,Ladakh,28242,28011,228,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,464360,235787,191744,36829,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,40,183,72,295,0,2,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11402,11350,52,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,122017,61380,57650,2987,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,2,25,3,30,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,7876382,7727789,147831,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,163617330,90079736,71416693,2120901,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,30625,86798,20117,137540,179,106,1,,,1332900000,Maharashtra,122153000
20,Manipur,137205,135056,2120,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,2823836,1552617,1196605,74614,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,852,1056,1039,2947,2,7,0,,,1332900000,Manipur,3103000
21,Meghalaya,93792,92193,1593,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,2437230,1388598,1014439,34193,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,1264,1699,263,3226,0,0,0,,,1332900000,Meghalaya,3224000
