Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForState,deltaVaccinatedForDistrict,delta7ConfirmedForState,delta7DeceasedForState,delta7RecoveredForState,delta7VaccinatedForState,delta7TestedForState,delta7ConfirmedForDistrict,delta7DeceasedForDistrict,delta7RecoveredForDistrict,delta7VaccinatedForDistrict,delta21_14ConfirmedForState,delta21_14ConfirmedForDistrict,7DmaVaccinatedForState,7DmaVaccinatedForDistrict
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Jhunjhunu,0,-945,0,16712,0,0,0,13974.0,227.0,13882.0,0,0,0,2139658,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,14811,158,14653,355421,1444115,753243,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,2197358.0,76040,1414.0,18.0,0.0,36.0,893417.0,102927.0,1172.0,92.0,1080.0,275339.0,27,0,61423330.0,1052455.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Jodhpur,0,1033,0,16712,0,0,0,39308.0,219.0,38942.0,0,0,0,3685681,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,112412,1103,111308,1135359,2258656,1022162,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,3280818.0,76040,2431.0,18.0,0.0,36.0,893417.0,102927.0,102345.0,1031.0,101313.0,951187.0,27,0,61423330.0,1892779.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Karauli,0,-379,0,16712,0,0,0,11767.0,208.0,11614.0,0,0,0,1458459,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,7156,70,7086,162814,801433,382666,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1184099.0,76040,3178.0,18.0,0.0,36.0,893417.0,102927.0,-6456.0,-117.0,-6338.0,65651.0,27,1,61423330.0,1238710.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Kota,0,272,0,16712,0,0,0,26880.0,202.0,26639.0,0,0,0,1950491,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,57053,449,56603,855823,1267597,635926,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1903523.0,76040,1887.0,18.0,0.0,36.0,893417.0,102927.0,42242.0,291.0,41950.0,732390.0,27,0,61423330.0,2101381.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Nagaur,0,-110,0,16712,0,0,0,85361.0,854.0,84521.0,0,0,0,3309234,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,17737,177,17560,474498,2071351,984150,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,3055501.0,76040,698.0,18.0,0.0,36.0,893417.0,102927.0,-94673.0,-926.0,-93745.0,-126461.0,27,1,61423330.0,3204970.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Pali,0,118,1,16712,0,0,0,12918.0,115.0,12786.0,0,0,0,2038533,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,27324,287,27037,337167,1195878,494418,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1690296.0,76040,1452.0,18.0,0.0,36.0,893417.0,102927.0,20168.0,217.0,19951.0,272686.0,27,0,61423330.0,1312139.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Pratapgarh,-9901,2,0,16712,0,0,0,44207.0,338.0,42454.0,0,0,0,868231,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,7143,63,7080,190757,654420,325412,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,979832.0,76040,3476.0,18.0,0.0,36.0,893417.0,102927.0,-49909.0,-386.0,-49523.0,-164752.0,27,0,61423330.0,1628977.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Rajsamand,6426,-166,0,16712,0,0,0,16621.0,198.0,17364.0,0,0,0,1158283,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,17044,169,16875,220050,688237,288009,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,976246.0,76040,978.0,18.0,0.0,36.0,893417.0,102927.0,-693.0,-8.0,-685.0,-9772.0,27,0,61423330.0,2447576.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Sawai Madhopur,-20000,-18,0,16712,0,0,0,6026.0,48.0,3123.0,0,0,0,1338114,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,10618,61,10557,177250,751957,337084,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1089041.0,76040,834.0,18.0,0.0,36.0,893417.0,102927.0,10429.0,22.0,10407.0,,27,0,61423330.0,
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Sikar,16886,243,0,16712,0,0,0,25853.0,266.0,27964.0,0,0,0,2677737,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,30618,335,30283,404363,1835839,809897,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,2645736.0,76040,4735.0,18.0,0.0,36.0,893417.0,102927.0,3294.0,48.0,3247.0,224900.0,27,0,61423330.0,1949799.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Sirohi,4234,-674,0,16712,0,0,0,8421.0,164.0,8958.0,0,0,0,1037185,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,13732,79,13653,250079,605358,340112,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,945470.0,76040,2769.0,18.0,0.0,36.0,893417.0,102927.0,6589.0,16.0,6573.0,197871.0,27,0,61423330.0,959884.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Tonk,-46907,53,0,16712,0,0,0,21589.0,139.0,14741.0,0,0,0,1421711,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,9498,92,9406,233823,883156,409763,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1292919.0,76040,2124.0,18.0,0.0,36.0,893417.0,102927.0,-7546.0,-77.0,-7469.0,141848.0,27,0,61423330.0,1060869.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Udaipur,56068,-8201,0,16712,0,0,0,15690.0,1430.0,23440.0,0,0,0,3067549,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,56405,753,55652,677572,1703275,819707,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,2522982.0,76040,6218.0,18.0,0.0,36.0,893417.0,102927.0,45787.0,692.0,45097.0,592889.0,27,0,61423330.0,1483371.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Other State,-954070,39,0,16712,0,0,0,158262.0,245.0,21716.0,0,0,0,0,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,337,39,298,6012,0,0,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,,76040,,18.0,0.0,36.0,893417.0,102927.0,-30281.0,-296.0,-29985.0,-159030.0,27,0,61423330.0,
